,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
2242918,2017-02-23,320000.0,90.0,69003.0,4.863505,45.763573
2242920,2017-03-13,188000.0,67.0,69008.0,4.874724,45.738878
2242923,2017-03-07,94000.0,21.0,69003.0,4.88472,45.745908
2242924,2017-03-14,195000.0,49.0,69006.0,4.852624,45.764587
2242926,2017-03-02,190000.0,35.0,69006.0,4.855395,45.769573
2242928,2017-03-02,177950.0,48.0,69007.0,4.852996,45.750826
2242929,2017-02-17,210000.0,61.0,69007.0,4.854423000000001,45.749656
2242931,2017-03-09,130500.0,39.0,69003.0,4.872169,45.758224
2242933,2017-03-13,214000.0,70.0,69003.0,4.87069,45.758977
2242936,2017-02-22,590000.0,124.0,69006.0,4.844204,45.765462
2242943,2017-03-09,112500.0,32.0,69007.0,4.849937000000001,45.752084
2242949,2017-03-02,309250.0,70.0,69006.0,4.858612,45.76958
2242951,2017-02-27,184600.0,50.0,69003.0,4.87395,45.759906
2242952,2017-02-20,157000.0,57.0,69007.0,4.829904,45.734173
2242955,2017-03-03,672250.0,180.0,69006.0,4.844107,45.775335999999996
2242957,2017-03-08,212500.0,68.0,69007.0,4.838887000000001,45.742752
2242959,2017-01-25,201000.0,60.0,69003.0,4.855257,45.755365000000005
2242961,2017-02-27,164350.0,89.0,69007.0,4.827765,45.735104
2242963,2017-02-24,252542.0,67.0,69006.0,4.856469000000001,45.769677
2242964,2017-02-28,89000.0,19.0,69003.0,4.841824,45.756418
2242965,2017-03-10,130000.0,36.0,69003.0,4.856987,45.763395
2242966,2017-03-06,119000.0,33.0,69006.0,4.850471,45.769982
2242972,2017-03-10,350000.0,40.0,69003.0,4.872357,45.745305
2242975,2017-02-28,106000.0,27.0,69008.0,4.86214,45.746911
2242976,2017-02-28,252750.0,65.0,69003.0,4.871985,45.755472
2242979,2017-02-24,255000.0,63.0,69006.0,4.847582,45.764965999999994
2242980,2017-03-10,278400.0,72.0,69003.0,4.88439,45.751477
2242981,2017-03-07,168000.0,46.0,69007.0,4.83844,45.73672
2242984,2017-03-15,187700.0,41.0,69003.0,4.851838,45.753305
2242986,2017-03-02,213500.0,39.0,69008.0,4.859433,45.74418
2242989,2017-02-23,222570.0,63.0,69008.0,4.883349,45.732229
2242992,2017-03-01,217000.0,103.0,69008.0,4.863361,45.741147
2242994,2017-02-23,141867.0,40.0,69008.0,4.883349,45.732229
2242996,2017-03-01,271000.0,59.0,69007.0,4.83056,45.733979
2243001,2017-03-07,170000.0,52.0,69007.0,4.8408430000000005,45.746472999999995
2243002,2017-03-06,427500.0,85.0,69006.0,4.848733999999999,45.772257
2243003,2017-03-04,173500.0,46.0,69003.0,4.843407,45.757473
2243005,2017-03-06,166000.0,42.0,69003.0,4.8690169999999995,45.754484999999995
2243006,2017-03-17,240000.0,69.0,69003.0,4.878177,45.74473
2243009,2017-02-28,278000.0,55.0,69006.0,4.843780000000001,45.773136
2243010,2017-02-27,248000.0,76.0,69007.0,4.836386,45.742946999999994
2243015,2017-02-23,498930.0,155.0,69008.0,4.873455,45.732356
2243016,2017-02-24,260000.0,58.0,69007.0,4.841953,45.734035999999996
2243018,2017-03-16,140000.0,40.0,69003.0,4.881139,45.745915000000004
2243019,2017-03-02,230000.0,63.0,69003.0,4.873948,45.746317
2243020,2017-02-28,84000.0,52.0,69008.0,4.872599,45.72632
2243022,2017-03-10,223000.0,81.0,69007.0,4.83265,45.744671000000004
2243023,2017-03-13,137100.0,40.0,69003.0,4.873213,45.756609999999995
2243024,2017-03-14,390000.0,96.0,69006.0,4.847411,45.766104999999996
2243025,2017-02-24,300000.0,86.0,69003.0,4.888046,45.753495
2243028,2017-03-14,304900.0,68.0,69003.0,4.866689,45.748509999999996
2243029,2017-02-28,429000.0,112.0,69003.0,4.851228,45.760117
2243031,2017-03-02,60000.0,48.0,69003.0,4.851986,45.758889
2243032,2017-03-02,60000.0,29.0,69003.0,4.851986,45.758889
2243033,2017-03-02,60000.0,53.0,69003.0,4.851986,45.758889
2243035,2017-03-07,115000.0,41.0,69003.0,4.862751,45.759238
2243037,2017-02-28,141550.0,39.0,69003.0,4.893237,45.753432000000004
2243039,2017-02-23,160000.0,58.0,69008.0,4.86822,45.738795
2243041,2017-03-08,93000.0,19.0,69003.0,4.855319000000001,45.756321
2243043,2017-02-27,242750.0,68.0,69007.0,4.855887999999999,45.747182
2243045,2017-03-07,162900.0,69.0,69008.0,4.855027,45.731899
2243046,2017-03-03,200000.0,52.0,69006.0,4.842880999999999,45.770364
2243049,2017-03-06,340000.0,117.0,69003.0,4.850345,45.758716
2243050,2017-03-06,100000.0,41.0,69008.0,4.883978,45.73361
2243052,2017-03-06,602900.0,169.0,69003.0,4.890812,45.75376
2243054,2017-03-08,159000.0,59.0,69007.0,4.829904,45.734173
2243056,2017-03-02,302500.0,71.0,69006.0,4.855504,45.769548
2243058,2017-03-08,305000.0,73.0,69003.0,4.873132,45.745323
2243060,2017-03-15,287000.0,104.0,69007.0,4.846415,45.748774
2243063,2017-03-06,89550.0,38.0,69008.0,4.8539129999999995,45.734013
2243064,2017-03-21,224155.0,59.0,69007.0,4.840487,45.752728000000005
2243065,2017-03-10,124000.0,32.0,69003.0,4.851044,45.753274
2243066,2017-03-07,216000.0,55.0,69006.0,4.851041,45.769090000000006
2243068,2017-02-17,403500.0,95.0,69003.0,4.8485510000000005,45.7573
2243070,2017-02-24,114000.0,45.0,69008.0,4.863862,45.739595
2243074,2017-03-01,150000.0,54.0,69007.0,4.8418849999999996,45.753698
2243075,2017-03-02,161000.0,83.0,69008.0,4.850412,45.72964
2243077,2017-03-16,95000.0,32.0,69008.0,4.871742,45.741417
2243080,2017-03-01,417000.0,53.0,69006.0,4.846446,45.764254
2243082,2017-03-03,60000.0,33.0,69008.0,4.854133999999999,45.733891
2243083,2017-03-10,205000.0,45.0,69003.0,4.845656,45.754719
2243085,2017-03-06,330000.0,79.0,69003.0,4.843016,45.756813
2243087,2017-03-08,134000.0,75.0,69008.0,4.863194,45.731154
2243088,2017-03-08,147000.0,45.0,69008.0,4.868118,45.739225
2243090,2017-03-09,180000.0,54.0,69007.0,4.835793,45.749015
2243091,2017-03-10,82000.0,33.0,69003.0,4.890646,45.745055
2243092,2017-03-16,157700.0,45.0,69003.0,4.855233,45.755619
2243093,2017-03-23,258500.0,73.0,69003.0,4.888592,45.750575
2243094,2017-03-10,480800.0,63.0,69006.0,4.852651,45.769334
2243095,2017-03-10,480800.0,26.0,69006.0,4.852651,45.769334
2243099,2017-03-15,265000.0,50.0,69007.0,4.849668,45.744883
2243100,2017-03-14,521200.0,113.0,69006.0,4.8531699999999995,45.771823
2243103,2017-03-06,205183.0,52.0,69003.0,4.8551400000000005,45.755903
2243104,2017-03-15,228250.0,65.0,69007.0,4.847628,45.749551000000004
2243105,2017-03-13,230000.0,50.0,69006.0,4.842264,45.773846
2243106,2017-02-28,77000.0,23.0,69008.0,4.875051999999999,45.726393
2243108,2017-03-13,125000.0,65.0,69008.0,4.861719,45.74837
2243110,2017-02-20,61000.0,23.0,69008.0,4.886019,45.738358000000005
2243111,2017-03-14,285000.0,69.0,69007.0,4.849811,45.751289
2243113,2017-03-08,287000.0,56.0,69006.0,4.843994,45.765117
2243115,2017-02-27,206000.0,64.0,69007.0,4.854115,45.74042
2243116,2017-02-27,303000.0,87.0,69006.0,4.863297,45.763957
2243118,2017-02-28,320000.0,79.0,69003.0,4.868164,45.757359
2243122,2017-03-02,124500.0,60.0,69008.0,4.877623000000001,45.726493
2243123,2017-03-17,185000.0,65.0,69003.0,4.864792,45.753979
